Sl. No,Name of Incident,Date,Month,Year,Country,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible,Outcome
420,Establishment of the Juche Ideology,Unknown,Unknown,1955,North Korea,Political Ideology,Pyongyang,"Formalized Kim IlUnknownsung’s Juche ideology, emphasizing selfUnknownreliance and independence in all state matters.",North Korean citizens,Kim IlUnknownsung,Mixed
421,Pueblo Incident,23,January,1968,North Korea,Military/Political Incident,Sea of Japan,"The capture of the USS Pueblo, escalating tensions with the United States.","US Navy crew, North Koreans",Kim IlUnknownsung,Negative
422,Kim IlUnknownsung’s Death,8,July,1994,North Korea,Political,Pyongyang,Marked the end of Kim IlUnknownsung’s era and the beginning of Kim JongUnknownil’s leadership.,North Korean citizens,Unknown,Negative
423,North Korea's First Nuclear Test,9,October,2006,North Korea,Nuclear Test,Kilju County,"North Korea's first successful nuclear test, significantly impacting international relations and security dynamics.",International community,Kim JongUnknownil,Negative
424,April Revolution,19,April,1960,South Korea,Political Uprising,Seoul,Led to the resignation of President Syngman Rhee and the establishment of a more democratic government structure.,South Korean citizens,"Student protesters, general public",Positive
425,May 16 Coup,16,May,1961,South Korea,Military Coup,Seoul,"Military coup led by Park ChungUnknownhee, resulting in economic development but also authoritarian rule.",South Korean citizens,Park ChungUnknownhee,Positive
426,Gwangju Uprising,18,May,1980,South Korea,Democratic Uprising,Gwangju,"A mass uprising against the military government, leading to civilian massacres and a call for democratic reforms.",Gwangju residents,"Chun DooUnknownhwan, democratic activists",Positive
427,Seoul Olympics,17,September,1988,South Korea,International Sports Event,Seoul,Showcased South Korea's emergence on the world stage and contributed to its global cultural and economic presence.,International audience,Roh TaeUnknownwoo,Positive
428,Kim DaeUnknownjung’s Sunshine Policy,Unknown,Unknown,1990,South Korea,Diplomatic Policy,Korean Peninsula,"A policy of engagement with North Korea, leading to a brief period of improved interUnknownKorean relations.",Koreans,Kim DaeUnknownjung,Positive
429,2002 FIFA World Cup,31,May,2002,South Korea,International Sports Event,"South Korea, Japan","CoUnknownhosted with Japan, this event marked South Korea's significant presence in international sports.",Global audience,"FIFA, South Korea, Japan",Positive
430,Impeachment of President Roh MooUnknownhyun,12,March,2004,South Korea,Political,Seoul,"Roh's impeachment for alleged election law violations, highlighting South Korea's political volatility.",South Korean citizens,South Korean National Assembly,Mixed
431,THAAD Deployment Controversy,Unknown,Unknown,2017,South Korea,Military/Political,Seongju County,"Deployment of the US THAAD missile defense system, sparking domestic protests and tensions with China.","South Korean citizens, China","Moon JaeUnknownin, US government",Negative
432,2018 InterUnknownKorean Summit,27,April,2018,South Korea,Diplomatic,Panmunjom,"Leaders of North and South Korea met for talks, renewing hopes for peace and denuclearization on the peninsula.",Koreans,"Moon JaeUnknownin, Kim JongUnknownun",Positive
433,Second Nuclear Test,25,May,2009,North Korea,Nuclear Test,North Korea,"Escalated tensions with the international community, underlining North Korea's commitment to its nuclear program.",International community,Kim JongUnknownil,Negative
434,Death of Kim JongUnknownil,17,December,2011,North Korea,Leadership Change,Pyongyang,Marked the end of Kim JongUnknownil's era and the beginning of Kim JongUnknownun's rule.,North Korean citizens,Unknown,Mixed
435,Kim JongUnknownun Assumes Power,Unknown,Unknown,2012,North Korea,Political,North Korea,"Initiated a new leadership era, with a focus on nuclear development and economic improvement.",North Korean citizens,Kim JongUnknownun,Mixed
436,Battle of Điện Biên Phủ,7,May,1954,Vietnam,Military Siege,Điện Biên Phủ,"Decisive victory against French forces, leading to the end of French Indochina and the Geneva Accords.","Vietnamese, French forces",Võ Nguyên Giáp,Positive
437,Geneva Accords,21,July,1954,Vietnam,Diplomatic Agreement,Geneva,"Temporarily divided Vietnam at the 17th parallel, setting the stage for conflict between North and South Vietnam.",Vietnamese people,International community,Mixed
438,Establishment of the National Liberation Front,Unknown,Unknown,1960,Vietnam,Political/Military Organization,South Vietnam,"Formed to fight against the South Vietnamese government and the US, aiming for reunification.","South Vietnamese, Viet Cong",North Vietnam,Mixed
439,Gulf of Tonkin Incident,2,August,1964,Vietnam,Military Engagement,Gulf of Tonkin,"Led to US Congress passing the Gulf of Tonkin Resolution, escalating American involvement in the Vietnam War.","Vietnamese, US military",US Government,Negative
440,Tết Offensive,30,January,1968,Vietnam,Military Offensive,South Vietnam,"A major campaign by North Vietnamese forces, marking a turning point in public perception of the Vietnam War.","Vietnamese, US civilians","North Vietnamese Army, Viet Cong",Mixed
441,Paris Peace Accords,27,January,1973,Vietnam,Diplomatic Agreement,Paris,"Led to a ceasefire and the withdrawal of US troops from Vietnam, although fighting between North and South continued.","Vietnamese, US military","US Government, North Vietnam",Mixed
442,Fall of Saigon,30,April,1975,Vietnam,Military/Political Event,Saigon,Marked the end of the Vietnam War and the beginning of reunification under the Socialist Republic of Vietnam.,"South Vietnamese, North Vietnamese",North Vietnamese Army,Positive
443,Reunification of Vietnam,2,July,1976,Vietnam,Political,Vietnam,"Officially reunified North and South Vietnam under a communist government, renaming Saigon to Ho Chi Minh City.",Vietnamese people,Socialist Republic of Vietnam,Positive
446,Normalization of USUnknownVietnam Relations,11,July,1995,Vietnam,Diplomatic,"Vietnam, US","Marked the normalization of relations between Vietnam and the US, including the opening of diplomatic and economic ties.","Vietnamese, Americans","Bill Clinton, Vietnamese Government",Positive
447,Vietnam Joins ASEAN,28,July,1995,Vietnam,International Integration,Southeast Asia,"Vietnam's accession to ASEAN, enhancing regional cooperation and integration.",Vietnamese people,"ASEAN, Vietnamese Government",Positive
448,Vietnam Joins the World Trade Organization,11,January,2007,Vietnam,International Trade Membership,Geneva,"Marked Vietnam's deeper integration into the global economy, promoting trade and investment.",Vietnamese economy,"WTO, Vietnamese Government",Positive
449,1000th Anniversary of Hanoi,10,October,2010,Vietnam,Cultural Celebration,Hanoi,"Celebrated the founding of the city, emphasizing Vietnam's rich history and cultural heritage.",Vietnamese people,Government of Vietnam,Positive
450,Vietnam Hosts APEC Summit,6,November,2017,Vietnam,International Summit,Da Nang,"Hosted leaders from the AsiaUnknownPacific region, showcasing Vietnam's role on the international stage.","Global leaders, Vietnamese people",Government of Vietnam,Positive
451,"Resolution on ""Vietnam's Marine Strategy to 2020""",Unknown,Unknown,2007,Vietnam,Environmental/Economic Policy,Vietnam,"Aimed at sustainable development of marine resources, highlighting Vietnam's commitment to environmental preservation and economic growth.",Vietnamese people,Communist Party of Vietnam,Positive
452,Vietnam's First Communication Satellite,19,April,2008,Vietnam,Technological Advancement,Space,"Launched VINASATUnknown1, marking Vietnam's entry into the space age and enhancing communication capabilities.",Vietnamese people,Government of Vietnam,Positive
453,Historic US Presidential Visit to Vietnam,21,May,2016,Vietnam,Diplomatic,"Hanoi, Ho Chi Minh City",Barack Obama's visit underscored the continued improvement of USUnknownVietnam relations postUnknownnormalization.,"Vietnamese, Americans","Barack Obama, Vietnamese Government",Positive
454,COVIDUnknown19 Pandemic Response,Unknown,Unknown,2020,Vietnam,Health Crisis,Vietnam,Vietnam's effective early response to the COVIDUnknown19 pandemic was internationally praised for its efficiency.,Vietnamese people,Vietnamese Government,Positive
455,Typhoon Damrey Strikes Vietnam,4,November,2017,Vietnam,Natural Disaster,Vietnam,"One of the deadliest typhoons to hit Vietnam in decades, causing significant damage and loss of life.",Residents of affected areas,Unknown,Negative
456,Establishment of Đại Việt,Unknown,Unknown,968,Vietnam,State Formation,Northern Vietnam,"Unified the nation under a centralized monarchy, laying the groundwork for Vietnamese identity and sovereignty.",Vietnamese people,Đinh Bộ Lĩnh,Positive
457,Lý Dynasty Founded,Unknown,Unknown,1009,Vietnam,Dynastic Founding,Hanoi,"Marked the beginning of a stable and prosperous era, with significant developments in culture, education, and governance.",Vietnamese people,Lý Thái Tổ,Positive
458,Trần Dynasty Defeats Mongol Invasions,Unknown,Unknown,1258,Vietnam,Military Defense,Northern Vietnam,"Successfully repelled three major Mongol invasions, preserving Vietnamese independence and cultural integrity.",Vietnamese people,Trần Hưng Đạo,Positive
459,Hồ Dynasty's Adoption of NeoUnknownConfucianism,Unknown,Unknown,1400,Vietnam,Cultural Shift,Vietnam,"Marked a shift towards NeoUnknownConfucianism, influencing Vietnamese society, politics, and education.",Vietnamese people,Hồ Quý Ly,Mixed
460,Lê Dynasty Restoration,Unknown,Unknown,1428,Vietnam,Dynastic Restoration,Vietnam,Restored national unity and promoted cultural and economic development after a period of division and conflict.,Vietnamese people,Lê Lợi,Positive
461,Nguyễn Dynasty's Expansion Southwards,Unknown,Unknown,1650,Vietnam,Territorial Expansion,Southern Vietnam,"Completed the territorial unification of modern Vietnam, extending control over the Mekong Delta.","Vietnamese people, Khmer people",Nguyễn lords,Positive
462,Tay Son Rebellion,Unknown,Unknown,1771,Vietnam,Rebellion,Central Vietnam,"A peasant uprising that temporarily overthrew the feudal lords, leading to significant social and political changes.",Vietnamese people,Nguyễn Huệ,Mixed
463,Gia Long Becomes Emperor,Unknown,Unknown,1802,Vietnam,Political Consolidation,Vietnam,"Unified Vietnam under the Nguyễn Dynasty, establishing a centralized monarchy with Hue as the capital.",Vietnamese people,Emperor Gia Long,Positive
